#atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|aexp_min|aexp_max|aexp_mutability|bexp_min|bexp_max|bexp_mutability|comment|reference
#|||||||||kJ/mol||||||nm||||||nm||A3|A3||1/nm|1/nm||eV|||eV||||||||||
n2_s|X|-4|-1|Bounded|||n2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp2 nitrogen shell|
n3|N|0|0|ACM|n3_b|n3_s|n3_z|n3_z|0.3|4|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.071|2||||20|60|Bounded|4|24|Bounded|3|12|Bounded|2000|50000|Bounded|10|70|Bounded|sp3 nitrogen|
n3_s|X|-4|-1|Bounded|||n3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp3 nitrogen shell|
n4|N|0|0|ACM|n4_b|n4_s|n4_z|n4_z|0.3|4|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.071|2||||20|60|Bounded|4|24|Bounded|3|12|Bounded|2000|50000|Bounded|10|70|Bounded|positively charged sp3 nitrogen|
n4_s|X|-4|-1|Bounded|||n4_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|positively charged sp3 nitrogen shell|
o1|O|0|0|ACM|o1_b|o1_s|o1_z|o1_z|0.5|4|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.066|2||||20|60|Bounded|4|24|Bounded|3|12|Bounded|2000|50000|Bounded|10|70|Bounded|sp oxygen|
o1_s|X|-4|-1|Bounded|||o1_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp oxygen shell|
o2|O|0|0|ACM|o2_b|o2_s|o2_z|o2_z|0.5|4|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.066|2||||20|60|Bounded|4|24|Bounded|3|12|Bounded|2000|50000|Bounded|10|70|Bounded|sp2 oxygen|
o2_s|X|-4|-1|Bounded|||o2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp2 oxygen shell|
o3|O|0|0|ACM|o3_b|o3_s|o3_z|o3_z|0.5|4|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.066|2||||20|60|Bounded|4|24|Bounded|3|12|Bounded|2000|50000|Bounded|10|70|Bounded|sp3 oxygen|
o3_s|X|-4|-1|Bounded|||o3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp3 oxygen shell|
ow|O|0|0|ACM|ow_b|ow_s|ow_z|ow_z|0.5|4|Bounded|7|20|Bounded|0.2|0.6|Bounded|1|10|Bounded|0.066|2||||20|60|Bounded|4|24|Bounded|3|12|Bounded|2000|50000|Bounded|10|70|Bounded|sp3 oxygen|
ow_s|X|-4|-1|Bounded|||ow_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp3 oxygen shell|
f|F|0|0|ACM|f_b|f_s|f_z|f_z|0.2|4|Bounded|7|20|Bounded|0.3|0.5|Bounded|1|10|Bounded|0.057|2||||20|60|Bounded|4|24|Bounded|3|14|Bounded|2000|50000|Bounded|10|70|Bounded|fluorine|
f_s|X|-6|-1|Bounded|||f_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.2|2.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|fluorine shell|
p1|P|0|0|ACM|p1_b|p1_s|p1_z|p1_z|0.5|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.107|3||||20|60|Bounded|4|24|Bounded|3|14|Bounded|2000|50000|Bounded|10|70|Bounded|sp phosphor|
p1_s|X|-6|-1|Bounded|||p1_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp phosphor shell|
p2|P|0|0|ACM|p2_b|p2_s|p2_z|p2_z|0.5|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.107|3||||20|60|Bounded|4|24|Bounded|4|14|Bounded|2000|50000|Bounded|10|70|Bounded|sp2 phosphor|
p2_s|X|-6|-1|Bounded|||p2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp2 phosphor shell|
p3|P|0|0|ACM|p3_b|p3_s|p3_z|p3_z|0.5|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.107|3||||20|60|Bounded|4|24|Bounded|4|14|Bounded|2000|50000|Bounded|10|70|Bounded|sp3 phosphor|
