atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|comment|reference|||
#|||||||||kJ/mol||||||nm||||||nm||A3|A3||1/nm|1/nm||eV|||eV|||||||
Be2+|Be|3|3|Fixed||Be2+_s|Be2+_z||0.2|0.2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.059|2||||2|10|Bounded|||||||beryllium|ion|||
Be2+_s|X|-1|-1|Fixed|||Be2+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.3|0.3|Bounded|2|10|Bounded|||||||beryllium|ion|shell||
Ca2+|Ca|3|3|Fixed||Ca2+_s|Ca2+_z||0.2|0.2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.114|4||||2|10|Bounded|||||||calcium|ion|||
Ca2+_s|X|-1|-1|Fixed|||Ca2+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.1|0.1|Bounded|2|10|Bounded|||||||calcium|ion|shell||
Mg2+|Mg|3|3|Fixed||Mg2+_s|Mg2+_z||0.2|0.2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.141|3||||2|10|Bounded|||||||magnesium|ion|?||
Mg2+_s|X|-1|-1|Fixed|||Mg2+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.1|0.1|Bounded|2|10|Bounded|||||||magnesium|ion|shell||
Na+|Na|0|3|ACM||Na+_s|Na+_z|Na+_z|0.100134|0.100134|Fixed|18.3477|18.3477|Fixed|0.342639|0.342639|Fixed|1|6|Bounded|0.166|3||||2|12|Bounded|4|24|Bounded|2|5|Bounded|sodium|ion|Walz2018a||
Na+_s|X|-2|-1|Bounded|||Na+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0|0.5|Bounded|2|12|Bounded|||||||sodium|ion|shell||
Cl-|Cl|0|3|ACM||Cl-_s|Cl-_z|Cl-_z|0.288439|0.288439|Fixed|15.0729|15.0729|Fixed|0.451923|0.451923|Fixed|1|6|Bounded|0.167|3||||2|12|Bounded|4|24|Bounded|2|5|Bounded|chloride|ion|Walz2018a||
Cl-_s|X|-4|-2|Bounded|||Cl-_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|2|6|Bounded|2|12|Bounded|||||||chloride|ion|shell||
